Name, DOB, Term, Party, Election, Vice-President, Img 
George Washington,(1732–1799),"April 30, 1789–March 4, 1797","Unaffiliated", "1788–1789,1792", "John Adams[c]",  https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/160px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg 
John Adams,(1735–1826),"March 4, 1797–March 4, 1801","Federalist", "1796", "Thomas Jefferson[d]",  https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/John_Adams_A18236.jpg/160px-John_Adams_A18236.jpg 
Thomas Jefferson,(1743–1826),"March 4, 1801–March 4, 1809","Democratic-Republican", "1800,1804", "Aaron Burr,George Clinton",  https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg/160px-Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg 
James Madison,(1751–1836),"March 4, 1809–March 4, 1817","Democratic-Republican", "1808,1812", "George Clinton[e],Vacant afterApril 20, 1812,Elbridge Gerry[e],Vacant afterNovember 23, 1814",  https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/160px-James_Madison.jpg 
James Monroe,(1758–1831),"March 4, 1817–March 4, 1825","Democratic-Republican", "1816,1820", "Daniel D. Tompkins",  https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/James_Monroe_White_House_portrait_1819.jpg/160px-James_Monroe_White_House_portrait_1819.jpg 
John Quincy Adams,(1767–1848),"March 4, 1825–March 4, 1829","Democratic-Republican[f] - National Republican", "1824", "John C. Calhoun[g]",  https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/John_Quincy_Adams_by_Charles_Osgood.jpg/160px-John_Quincy_Adams_by_Charles_Osgood.jpg 
Andrew Jackson,(1767–1845),"March 4, 1829–March 4, 1837","Democratic", "1828,1832", "John C. Calhoun[h],Vacant afterDecember 28, 1832,Martin Van Buren",  https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Andrew_jackson_head.jpg/160px-Andrew_jackson_head.jpg 
Martin Van Buren,(1782–1862),"March 4, 1837–March 4, 1841","Democratic", "1836", "Richard Mentor Johnson",  https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Martin_Van_Buren_circa_1837_crop.jpg/160px-Martin_Van_Buren_circa_1837_crop.jpg 
William Henry Harrison,(1773–1841),"March 4, 1841–April 4, 1841[e]","Whig", "1840", "John Tyler",  https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg/160px-William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg 
John Tyler,(1790–1862),"April 4, 1841[i]–March 4, 1845","Whig[j] - Unaffiliated", "–", "Vacant throughoutpresidency",  https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/John_Tyler%2C_Jr.jpg/160px-John_Tyler%2C_Jr.jpg 
James K. Polk,(1795–1849),"March 4, 1845–March 4, 1849","Democratic", "1844", "George M. Dallas",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/JKP.jpg/160px-JKP.jpg 
Zachary Taylor,(1784–1850),"March 4, 1849–July 9, 1850[e]","Whig", "1848", "Millard Fillmore",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Zachary_Taylor_restored_and_cropped.jpg/160px-Zachary_Taylor_restored_and_cropped.jpg 
